kind	original_path	build	install
header	lib_unix/include/p101_unix/p101_resolv.h	not-built	not-installed
header	lib_unix/include/p101_unix/arpa/p101_nameser.h	not-built	not-installed
source	lib_unix/src/resolv.c	not-built	not-installed
source	lib_unix/src/arpa/nameser.c	not-built	not-installed
