function	function_usr	provenance	current_source	current_header	original_source	original_header	linux	macos	freebsd	native_function	native_function_usr
p101_getpeername	c:@F@p101_getpeername	POSIX	libraries/lib_network/src/sys/socket.c	libraries/lib_network/include/p101_network/sys/p101_socket.h	libraries/lib_posix/src/sys/socket.c	libraries/lib_posix/include/p101_posix/sys/p101_socket.h	yes	yes	yes	getpeername	c:@F@getpeername
p101_getsockname	c:@F@p101_getsockname	POSIX	libraries/lib_network/src/sys/socket.c	libraries/lib_network/include/p101_network/sys/p101_socket.h	libraries/lib_posix/src/sys/socket.c	libraries/lib_posix/include/p101_posix/sys/p101_socket.h	yes	yes	yes	getsockname	c:@F@getsockname
p101_getsockopt	c:@F@p101_getsockopt	POSIX	libraries/lib_network/src/sys/socket.c	libraries/lib_network/include/p101_network/sys/p101_socket.h	libraries/lib_posix/src/sys/socket.c	libraries/lib_posix/include/p101_posix/sys/p101_socket.h	yes	yes	yes	getsockopt	c:@F@getsockopt
p101_htonl	c:@F@p101_htonl	POSIX	libraries/lib_network/src/arpa/inet.c	libraries/lib_network/include/p101_network/arpa/p101_inet.h	libraries/lib_posix/src/arpa/inet.c	libraries/lib_posix/include/p101_posix/arpa/p101_inet.h	yes	yes	yes	htonl	c:@F@htonl
p101_htons	c:@F@p101_htons	POSIX	libraries/lib_network/src/arpa/inet.c	libraries/lib_network/include/p101_network/arpa/p101_inet.h	libraries/lib_posix/src/arpa/inet.c	libraries/lib_posix/include/p101_posix/arpa/p101_inet.h	yes	yes	yes	htons	c:@F@htons
p101_if_freenameindex	c:@F@p101_if_freenameindex	POSIX	libraries/lib_network/src/net/if.c	libraries/lib_network/include/p101_network/net/p101_if.h	libraries/lib_posix/src/net/if.c	libraries/lib_posix/include/p101_posix/net/p101_if.h	yes	yes	yes	if_freenameindex	c:@F@if_freenameindex
p101_if_indextoname	c:@F@p101_if_indextoname	POSIX	libraries/lib_network/src/net/if.c	libraries/lib_network/include/p101_network/net/p101_if.h	libraries/lib_posix/src/net/if.c	libraries/lib_posix/include/p101_posix/net/p101_if.h	yes	yes	yes	if_indextoname	c:@F@if_indextoname
p101_if_nameindex	c:@F@p101_if_nameindex	POSIX	libraries/lib_network/src/net/if.c	libraries/lib_network/include/p101_network/net/p101_if.h	libraries/lib_posix/src/net/if.c	libraries/lib_posix/include/p101_posix/net/p101_if.h	yes	yes	yes	if_nameindex	c:@F@if_nameindex
p101_if_nametoindex	c:@F@p101_if_nametoindex	POSIX	libraries/lib_network/src/net/if.c	libraries/lib_network/include/p101_network/net/p101_if.h	libraries/lib_posix/src/net/if.c	libraries/lib_posix/include/p101_posix/net/p101_if.h	yes	yes	yes	if_nametoindex	c:@F@if_nametoindex
p101_inet_addr	c:@F@p101_inet_addr	POSIX	libraries/lib_network/src/arpa/inet.c	libraries/lib_network/include/p101_network/arpa/p101_inet.h	libraries/lib_posix/src/arpa/inet.c	libraries/lib_posix/include/p101_posix/arpa/p101_inet.h	yes	yes	yes	inet_addr	c:@F@inet_addr
p101_inet_aton	c:@F@p101_inet_aton	common-Unix	libraries/lib_network/src/arpa/inet.c	libraries/lib_network/include/p101_network/arpa/p101_inet.h	libraries/lib_unix/src/arpa/inet.c	libraries/lib_unix/include/p101_unix/arpa/p101_inet.h	yes	yes	yes	inet_aton	c:@F@inet_aton
p101_inet_lnaof	c:@F@p101_inet_lnaof	common-Unix	libraries/lib_network/src/arpa/inet.c	libraries/lib_network/include/p101_network/arpa/p101_inet.h	libraries/lib_unix/src/arpa/inet.c	libraries/lib_unix/include/p101_unix/arpa/p101_inet.h	yes	yes	yes	inet_lnaof	c:@F@inet_lnaof
p101_inet_makeaddr	c:@F@p101_inet_makeaddr	common-Unix	libraries/lib_network/src/arpa/inet.c	libraries/lib_network/include/p101_network/arpa/p101_inet.h	libraries/lib_unix/src/arpa/inet.c	libraries/lib_unix/include/p101_unix/arpa/p101_inet.h	yes	yes	yes	inet_makeaddr	c:@F@inet_makeaddr
p101_inet_net_ntop	c:@F@p101_inet_net_ntop	common-Unix	libraries/lib_network/src/arpa/inet.c	libraries/lib_network/include/p101_network/arpa/p101_inet.h	libraries/lib_unix/src/arpa/inet.c	libraries/lib_unix/include/p101_unix/arpa/p101_inet.h	yes	yes	yes	inet_net_ntop	c:@F@inet_net_ntop
p101_inet_net_pton	c:@F@p101_inet_net_pton	common-Unix	libraries/lib_network/src/arpa/inet.c	libraries/lib_network/include/p101_network/arpa/p101_inet.h	libraries/lib_unix/src/arpa/inet.c	libraries/lib_unix/include/p101_unix/arpa/p101_inet.h	yes	yes	yes	inet_net_pton	c:@F@inet_net_pton
p101_inet_netof	c:@F@p101_inet_netof	common-Unix	libraries/lib_network/src/arpa/inet.c	libraries/lib_network/include/p101_network/arpa/p101_inet.h	libraries/lib_unix/src/arpa/inet.c	libraries/lib_unix/include/p101_unix/arpa/p101_inet.h	yes	yes	yes	inet_netof	c:@F@inet_netof
p101_inet_network	c:@F@p101_inet_network	common-Unix	libraries/lib_network/src/arpa/inet.c	libraries/lib_network/include/p101_network/arpa/p101_inet.h	libraries/lib_unix/src/arpa/inet.c	libraries/lib_unix/include/p101_unix/arpa/p101_inet.h	yes	yes	yes	inet_network	c:@F@inet_network
p101_inet_ntoa	c:@F@p101_inet_ntoa	POSIX	libraries/lib_network/src/arpa/inet.c	libraries/lib_network/include/p101_network/arpa/p101_inet.h	libraries/lib_posix/src/arpa/inet.c	libraries/lib_posix/include/p101_posix/arpa/p101_inet.h	yes	yes	yes	inet_ntoa	c:@F@inet_ntoa
p101_inet_ntop	c:@F@p101_inet_ntop	POSIX	libraries/lib_network/src/arpa/inet.c	libraries/lib_network/include/p101_network/arpa/p101_inet.h	libraries/lib_posix/src/arpa/inet.c	libraries/lib_posix/include/p101_posix/arpa/p101_inet.h	yes	yes	yes	inet_ntop	c:@F@inet_ntop
p101_inet_pton	c:@F@p101_inet_pton	POSIX	libraries/lib_network/src/arpa/inet.c	libraries/lib_network/include/p101_network/arpa/p101_inet.h	libraries/lib_posix/src/arpa/inet.c	libraries/lib_posix/include/p101_posix/arpa/p101_inet.h	yes	yes	yes	inet_pton	c:@F@inet_pton
p101_listen	c:@F@p101_listen	POSIX	libraries/lib_network/src/sys/socket.c	libraries/lib_network/include/p101_network/sys/p101_socket.h	libraries/lib_posix/src/sys/socket.c	libraries/lib_posix/include/p101_posix/sys/p101_socket.h	yes	yes	yes	listen	c:@F@listen
p101_ntohl	c:@F@p101_ntohl	POSIX	libraries/lib_network/src/arpa/inet.c	libraries/lib_network/include/p101_network/arpa/p101_inet.h	libraries/lib_posix/src/arpa/inet.c	libraries/lib_posix/include/p101_posix/arpa/p101_inet.h	yes	yes	yes	ntohl	c:@F@ntohl
p101_ntohs	c:@F@p101_ntohs	POSIX	libraries/lib_network/src/arpa/inet.c	libraries/lib_network/include/p101_network/arpa/p101_inet.h	libraries/lib_posix/src/arpa/inet.c	libraries/lib_posix/include/p101_posix/arpa/p101_inet.h	yes	yes	yes	ntohs	c:@F@ntohs
p101_recv	c:@F@p101_recv	POSIX	libraries/lib_network/src/sys/socket.c	libraries/lib_network/include/p101_network/sys/p101_socket.h	libraries/lib_posix/src/sys/socket.c	libraries/lib_posix/include/p101_posix/sys/p101_socket.h	yes	yes	yes	recv	c:@F@recv
p101_recvfrom	c:@F@p101_recvfrom	POSIX	libraries/lib_network/src/sys/socket.c	libraries/lib_network/include/p101_network/sys/p101_socket.h	libraries/lib_posix/src/sys/socket.c	libraries/lib_posix/include/p101_posix/sys/p101_socket.h	yes	yes	yes	recvfrom	c:@F@recvfrom
p101_recvmsg	c:@F@p101_recvmsg	POSIX	libraries/lib_network/src/sys/socket.c	libraries/lib_network/include/p101_network/sys/p101_socket.h	libraries/lib_posix/src/sys/socket.c	libraries/lib_posix/include/p101_posix/sys/p101_socket.h	yes	yes	yes	recvmsg	c:@F@recvmsg
p101_send	c:@F@p101_send	POSIX	libraries/lib_network/src/sys/socket.c	libraries/lib_network/include/p101_network/sys/p101_socket.h	libraries/lib_posix/src/sys/socket.c	libraries/lib_posix/include/p101_posix/sys/p101_socket.h	yes	yes	yes	send	c:@F@send
p101_sendmsg	c:@F@p101_sendmsg	POSIX	libraries/lib_network/src/sys/socket.c	libraries/lib_network/include/p101_network/sys/p101_socket.h	libraries/lib_posix/src/sys/socket.c	libraries/lib_posix/include/p101_posix/sys/p101_socket.h	yes	yes	yes	sendmsg	c:@F@sendmsg
p101_sendto	c:@F@p101_sendto	POSIX	libraries/lib_network/src/sys/socket.c	libraries/lib_network/include/p101_network/sys/p101_socket.h	libraries/lib_posix/src/sys/socket.c	libraries/lib_posix/include/p101_posix/sys/p101_socket.h	yes	yes	yes	sendto	c:@F@sendto
p101_sethostent	c:@F@p101_sethostent	POSIX	libraries/lib_network/src/netdb.c	libraries/lib_network/include/p101_network/p101_netdb.h	libraries/lib_posix/src/netdb.c	libraries/lib_posix/include/p101_posix/p101_netdb.h	yes	yes	yes	sethostent	c:@F@sethostent
p101_setnetent	c:@F@p101_setnetent	POSIX	libraries/lib_network/src/netdb.c	libraries/lib_network/include/p101_network/p101_netdb.h	libraries/lib_posix/src/netdb.c	libraries/lib_posix/include/p101_posix/p101_netdb.h	yes	yes	yes	setnetent	c:@F@setnetent
p101_setprotoent	c:@F@p101_setprotoent	POSIX	libraries/lib_network/src/netdb.c	libraries/lib_network/include/p101_network/p101_netdb.h	libraries/lib_posix/src/netdb.c	libraries/lib_posix/include/p101_posix/p101_netdb.h	yes	yes	yes	setprotoent	c:@F@setprotoent
p101_setservent	c:@F@p101_setservent	POSIX	libraries/lib_network/src/netdb.c	libraries/lib_network/include/p101_network/p101_netdb.h	libraries/lib_posix/src/netdb.c	libraries/lib_posix/include/p101_posix/p101_netdb.h	yes	yes	yes	setservent	c:@F@setservent
p101_setsockopt	c:@F@p101_setsockopt	POSIX	libraries/lib_network/src/sys/socket.c	libraries/lib_network/include/p101_network/sys/p101_socket.h	libraries/lib_posix/src/sys/socket.c	libraries/lib_posix/include/p101_posix/sys/p101_socket.h	yes	yes	yes	setsockopt	c:@F@setsockopt
p101_shutdown	c:@F@p101_shutdown	POSIX	libraries/lib_network/src/sys/socket.c	libraries/lib_network/include/p101_network/sys/p101_socket.h	libraries/lib_posix/src/sys/socket.c	libraries/lib_posix/include/p101_posix/sys/p101_socket.h	yes	yes	yes	shutdown	c:@F@shutdown
p101_sockatmark	c:@F@p101_sockatmark	POSIX	libraries/lib_network/src/sys/socket.c	libraries/lib_network/include/p101_network/sys/p101_socket.h	libraries/lib_posix/src/sys/socket.c	libraries/lib_posix/include/p101_posix/sys/p101_socket.h	yes	yes	yes	sockatmark	c:@F@sockatmark
p101_socket	c:@F@p101_socket	POSIX	libraries/lib_network/src/sys/socket.c	libraries/lib_network/include/p101_network/sys/p101_socket.h	libraries/lib_posix/src/sys/socket.c	libraries/lib_posix/include/p101_posix/sys/p101_socket.h	yes	yes	yes	socket	c:@F@socket
p101_socketpair	c:@F@p101_socketpair	POSIX	libraries/lib_network/src/sys/socket.c	libraries/lib_network/include/p101_network/sys/p101_socket.h	libraries/lib_posix/src/sys/socket.c	libraries/lib_posix/include/p101_posix/sys/p101_socket.h	yes	yes	yes	socketpair	c:@F@socketpair
